task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,19,24,post,3,32,clockwise,clockwise,correct,1.2101095480002186,ca,1270,10,500,solo,0.7367616849996921,gs,4.0,1.4817806080000082,3,"[(3, 0.000513563999447797), (4, 0.6505793709993668), (5, 0.8107733349997943), (4, 1.178602544999194), (4, 1.4827044779995049)]",0.46376056219843526
group,19,25,post,-3,8,anticlockwise,anticlockwise,correct,0.9615112859992223,ca,1400,-10,500,solo,0.6582904810002219,gs,3.0,1.7420469680000679,5,"[(5, 0.0004792600002474501), (4, 1.2629636909996407), (3, 1.4709126580000884), (3, 1.74288857800002)]",0.587322797075212
group,19,26,post,3,16,clockwise,clockwise,correct,0.7683357369996884,ac,1040,-10,500,solo,0.6471834899994064,gs,3.0,1.0448653559997183,5,"[(5, 0.0004933019999953103), (4, 0.6295569900003102), (3, 0.8055845050002972), (3, 1.0457157479995658)]",0.46584015148650026
group,19,27,post,-3,32,anticlockwise,anticlockwise,correct,1.152994101999866,ca,850,0,500,group,1.0497443699996438,sg,1.0,1.4619899009994697,3,"[(3, 0.0004985719997421256), (2, 0.6789380650006933), (1, 0.9028220140007761), (1, 1.4629609460007487)]",0.5009453872003354
group,19,28,post,3,8,clockwise,clockwise,correct,0.7037155520001761,ac,770,0,500,solo,0.9707889270002852,sg,6.0,1.145541057000628,2,"[(2, 0.0005048000002716435), (3, 0.23443378400043002), (4, 0.39444163700045465), (5, 0.6184939439999653), (6, 0.8584922580002967), (6, 1.1462088050002421)]",0.5558775720613186
group,19,29,post,3,64,clockwise,clockwise,correct,1.3019767630003116,ca,500,-10,500,group,3.4328479550003976,gs,3.0,2.8539530600000944,1,"[(1, 0.000493151999762631), (2, 1.2547807680002734), (3, 1.4307413559999986), (4, 1.878850818000501), (3, 2.326734244999898), (3, 2.8546155570002156)]",0.4150073918489175
group,19,30,post,-3,64,anticlockwise,anticlockwise,correct,0.8446876620000694,ac,640,-10,500,group,1.5685094780001236,gs,2.0,1.1923606649997964,4,"[(4, 0.0005157430005056085), (3, 0.6010783489991809), (2, 0.9211205729998255), (2, 1.1932246869992014)]",0.45756467074868784
group,19,31,post,-3,16,anticlockwise,anticlockwise,correct,0.8631137890006357,ac,550,10,500,solo,1.4428173030000835,gs,4.0,1.6157115530004376,6,"[(6, 0.0005067169995527365), (5, 0.9445395880002252), (4, 1.1046036830002777), (4, 1.6166627860002336)]",0.5059313367299682
group,19,32,post,-3,32,clockwise,anticlockwise,wrong,1.0149923099997977,ca,1400,0,500,solo,1.109756556999855,sg,3.0,1.7912016540003606,6,"[(6, 0.00048560100003669504), (5, 0.49622025200005737), (4, 1.008140801999616), (3, 1.456125411999892), (3, 1.7920909790000223)]",0.444230054658168
group,19,33,post,3,32,clockwise,clockwise,correct,0.6998710879997816,ac,640,10,500,solo,1.350947960000667,gs,2.0,1.175785856999937,4,"[(4, 0.0004915869994874811), (3, 0.7286728420003783), (2, 0.9526193740002782), (2, 1.1765555970005153)]",0.5299211655653951
