task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,1,32,pre,3,32,clockwise,clockwise,correct,0.99896894700032135,ca,770,10,500,solo,1.0671799140000076,sg,4,1.3166423600005146,5,"[(5, 0.00048324099952878896), (4, 0.7576006729996152), (4, 1.317441060999954)]",0.5337892685399719
group,1,33,post,-3,32,anticlockwise,anticlockwise,correct,0.6601669150004454,ac,940,10,500,solo,0.6406141629995545,sg,4,1.6776534589998846,5,"[(5, 0.0005131990001245867), (4, 0.4946050369999284), (4, 1.6785702409997612)]",0.557892489355471
group,1,34,post,-3,16,anticlockwise,anticlockwise,correct,1.8860717020006632,ca,1150,-10,500,solo,0.7938295050007582,sg,4,2.063646646000052,3,"[(3, 0.0005192879998503486), (4, 0.8007408839994241), (4, 2.0645779829992534)]",0.5579700323035144
group,1,35,post,3,16,clockwise,clockwise,correct,0.7562699820000489,ac,1150,0,500,solo,0.6532486209998751,sg,6,1.1771009379999668,3,"[(3, 0.00048294099997292506), (4, 0.31412784500025737), (5, 0.5059748510002464), (6, 0.6820782690001579), (6, 1.1780162029999701)]",0.5047893627037852
group,1,36,post,3,32,clockwise,clockwise,correct,0.863374919999842,ca,940,0,500,solo,1.0108262009998725,gs,5,1.2166360739993252,1,"[(1, 0.00047424300009879516), (2, 0.2897026150003512), (3, 0.46546534200024325), (4, 0.657510392000404), (5, 0.8016589560002103), (5, 1.2175993540004129)]",0.5252319196595304
group,1,37,post,3,16,anticlockwise,clockwise,wrong,1.2081641549993947,ca,1400,10,500,solo,1.022717595999893,gs,4,0.6357969159998902,3,"[(3, 0.00047296799948526314), (4, 0.3328049709998595), (4, 0.6366416290002235)]",0.455977191805564
group,1,38,post,-3,8,anticlockwise,anticlockwise,correct,0.8281397500004459,ca,700,10,500,solo,0.8815513780000401,gs,5,1.2037515349993555,1,"[(1, 0.00046801799999229843), (2, 0.3728128419998029), (3, 0.5646919569999227), (4, 0.7407883930000025), (5, 0.932646948999718), (5, 1.2045952529997521)]",0.43377529713329116
group,1,39,post,-3,64,anticlockwise,anticlockwise,correct,0.8104903899993587,ac,500,0,500,solo,3.104285063000134,sg,2,1.354718350999974,2,"[(2, 0.0004920279998259502), (2, 1.3555528509996293)]",0.5054931814932946
group,1,40,post,3,8,clockwise,clockwise,correct,1.0701904500001547,ac,590,10,500,solo,0.9698741730007896,gs,4,2.409508146999542,4,"[(4, 0.0004831830001421622), (4, 2.410574964999796)]",0.45254372712470914
group,1,41,post,3,64,clockwise,clockwise,correct,0.8291510949993608,ca,590,0,500,solo,0.8024053460003415,sg,4,3.608998781000082,2,"[(2, 0.0004780199997185264), (3, 0.3299015379998309), (4, 0.5217013709998355), (3, 1.6740207499997268), (4, 2.4578571729998657), (5, 2.6498617609995563), (4, 3.3379790299995875), (4, 3.6098069439995015)]",0.564679292388952
group,1,42,post,3,32,clockwise,clockwise,correct,1.0114590720004344,ac,500,10,500,solo,1.4249962670000969,sg,4,1.4380864770000699,4,"[(4, 0.00048494099974050187), (4, 1.4391031490004025)]",0.40283634098750853
group,1,43,pre,3,8,clockwise,clockwise,correct,0.7473261270006333,ac,1040,-10,500,solo,1.3528026150006554,gs,6,1.507862638000006,5,"[(5, 0.00047839000035310164), (6, 1.2048873979993004), (6, 1.5087370549999832)]",0.45392331188199103
group,1,44,post,-3,16,anticlockwise,anticlockwise,correct,0.9928736529991511,ac,770,0,500,solo,1.0719921299996713,gs,5,2.698875099000361,1,"[(1, 0.0004719160006061429), (2, 0.5557777179992627), (3, 0.7477194059993053), (4, 0.9717941239996435), (5, 1.1638771879997876), (5, 2.699687558999358)]",0.4350534200657382
group,1,45,post,-3,32,anticlockwise,anticlockwise,correct,0.6425198220003949,ac,1040,-10,500,solo,0.9116226839996671,sg,4,1.089525744000639,5,"[(5, 0.00047792199984542094), (4, 0.6424087850000433), (4, 1.0904692859994611)]",0.5765344141099896
group,1,46,post,-3,8,anticlockwise,anticlockwise,correct,0.7287354049994974,ac,500,10,500,solo,1.0416970930000389,gs,4,1.710125022000284,6,"[(6, 0.00047855199954938143), (5, 0.6073933819998274), (4, 1.1355301040002814), (4, 1.7113734450003903)]",0.5911191204456507
group,1,47,pre,-3,8,anticlockwise,anticlockwise,correct,0.9651903490002951,ca,700,10,500,solo,0.9682820500001981,sg,4,2.5009304690001954,3,"[(3, 0.000481865999972797), (4, 0.9979963769992537), (4, 2.501844992999395)]",0.5731142010619776
group,1,48,post,-3,32,anticlockwise,anticlockwise,correct,0.7410221919999458,ac,850,10,500,solo,0.7339763959998891,sg,3,1.5108463080005095,2,"[(2, 0.0004840259998672991), (3, 0.48778588400000444), (3, 1.5117883080001775)]",0.5867616155233408
group,1,49,post,-3,64,anticlockwise,anticlockwise,correct,1.0858106539999426,ca,1400,-10,500,solo,1.3540857409998353,gs,4,1.7852290069995433,6,"[(6, 0.0004874030000792118), (5, 0.5542165739998381), (4, 0.8581500279997272), (3, 1.0662126319994059), (4, 1.5462823409998236), (4, 1.7861297169993122)]",0.5683355515751076
group,1,50,post,-3,16,anticlockwise,anticlockwise,correct,0.9175081870007489,ac,700,-10,500,solo,0.7748889190006594,gs,4,1.3744904100003623,4,"[(4, 0.0004795849999936763), (4, 1.3752934649992312)]",0.5966995035879443
group,1,51,post,3,8,clockwise,clockwise,correct,0.875911264000024,ac,640,-10,500,solo,1.0074262469997848,gs,6,0.6526659979999749,6,"[(6, 0.0004749629997604643), (6, 0.30172356000002765), (6, 0.6534142640002756)]",0.5503982153350195
